"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00427924","1981-08-29","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-30","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-31","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-01","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-02","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-03","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-04","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-05","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   13",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-06","41.21667","-111.85","1958.0","SNOW BASIN, UT US","  102",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-09-07","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   13",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-09-08","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-09-09","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    3",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-09-10","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-09-11","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
