"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1UTSM0012","2020-12-11","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2020-12-12","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   36",",,N","   53",",,N",,,,,,,,,"   38",",,N"
"US1UTSM0012","2020-12-13","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    3",",,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2020-12-14","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","   15",",,N",,,,,,,,,"    8",",,N"
"US1UTSM0012","2020-12-15","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    3",",,N","    8",",,N",,,,,,,,,"    3",",,N"
"US1UTSM0012","2020-12-16","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2020-12-17","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-18","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   18",",,N","   36",",,N",,,,,,,,,"   25",",,N"
"US1UTSM0012","2020-12-19","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-20","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-21","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N",,,,,,,,,,,,
"US1UTSM0012","2020-12-22","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-23","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   15",",,N","   25",",,N",,,,,,,,,"   20",",,N"
"US1UTSM0012","2020-12-24","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-25","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-26","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-27","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    8",",,N","   15",",,N",,,,,,,,,"   10",",,N"
"US1UTSM0012","2020-12-28","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2020-12-29","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   38",",,N","   46",",,N",,,,,,,,,"   48",",,N"
"US1UTSM0012","2020-12-30","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2020-12-31","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    5",",,N","    8",",,N",,,,,,,,,"    8",",,N"
"US1UTSM0012","2021-01-01","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,"    0","T,,N"
"US1UTSM0012","2021-01-02","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-03","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-04","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   10",",,N",,,,,,,,,,,,
"US1UTSM0012","2021-01-05","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   25",",,N","   46",",,N",,,,,,,,,"   30",",,N"
"US1UTSM0012","2021-01-06","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N","    0","T,,N",,,,,,,,,,
"US1UTSM0012","2021-01-07","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-08","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-09","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-10","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-11","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-12","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-13","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-14","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N",,,,,,,,,,,,
"US1UTSM0012","2021-01-16","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0","T,,N",,,,,,,,,,,,
"US1UTSM0012","2021-01-17","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-18","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-19","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    8",",,N","   20",",,N",,,,,,,,,"   10",",,N"
"US1UTSM0012","2021-01-20","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-21","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-22","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","    0",",,N","    0",",,N",,,,,,,,,,
"US1UTSM0012","2021-01-23","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   79",",,N","  152",",,N","  152",",,N",,,,,,,"  104",",,N"
"US1UTSM0012","2021-01-24","40.67534","-111.49992","2051.9","PARK CITY 1.4 NNW, UT US","   13",",,N","   13",",,N",,,,,,,,,"    5",",,N"
